page_num,entry_id,registration_date_and_plan_ref,property_description,date_of_lease_and_term,lessees_title,notes
13,74,17.05.2007,31 Walsingham (Seventh Floor Flat),10.04.2007 From 10.4.2007 to 21.11.2174,NGL881117,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,75,11.05.2007,10 Wymondham (Second Floor Flat) and Garage 86,10.04.2007 From 10.4.2007 to 21.11.2174,NGL880361,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,76,23.05.2007,59 Sheringham (Sixth Floor Flat),20.04.2007 From 20.4.2007 to 21.11.2174,NGL881706,"['NOTE: The registered lease was granted under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,77,23.05.2007,77 Sheringham (Ninth Floor Flat) and Garage 1,20.04.2007 From 20.4.2007 to 21.11.2174,NGL881711,"['NOTE: The lease was made under the provisions of section 56 0r 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,78,23.05.2007,47 Walsingham (Third Floor Flat) and garage 58,20.04.2007 From 20.4.2007 to 21.11.2174,NGL881709,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,79,23.05.2007,48 Walsingham (Third Floor Flat),20.04.2007 From 20.4.2007 to 21.11.2174,NGL881722,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,80,23.05.2007,73 Walsingham (Eighth Floor Flat),20.04.2007 From 20.4.2007 21.11.2174,NGL881724,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,81,23.05.2007,3 Walsingham (Ground Floor Flat)and Garage 61,10.05.2007 From 10.5.2007 to 21.11.2174,NGL881719,"['NOTE: The lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,82,19.06.2007,35 Walsingham (Ground Floor Flat),15.06.2007 From 15.6.2007 to 21.11.2174,NGL883238,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing ans Urban Development Act 1993']"
13,83,19.06.2007,25 Sheringham (Sixth Floor Flat) and Garage 8,10.05.2007 From 10.5.2007 to 21.11.2174,NGL883237,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,84,19.06.2007,61 Walsingham (Sixth Floor Flat) and garage 68,10.05.2007 From 10.5.2007 to 21.11.2174,NGL883240,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,85,19.06.2007,13 Walsingham (Third Floor Flat) and garage 81,10.05.2007 From 10.5.2007 to 21.11.2174,NGL883233,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,86,02.05.2007,37 Walsingham (First Floor Flat) and Garage 82,16.04.2007 From 16.4.2007 to 21.11.2174,NGL879753,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,87,14.05.2007,Flats 69 and 70 Walsingham (Eighth Floor Flats) and garages 70 to 71,10.04.2007 From 10.4.2007 to 21.11.2174,NGL880545,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,88,23.05.2007,78 Walsingham (Ninth Floor Flat) and Garage 56,20.04.2007 From 20.4.2007 to 21.11.2174,NGL881725,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,89,11.06.2007,3 Sheringham (Ground Floor Flat),10.05.2007 From 10/5/2007 to 21/11/2174,NGL882845,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,90,11.06.2007,24 Sheringham (Fifth Floor Flat),26.04.2007 From 26/4/2007 to 21/11/2174,NGL882846,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993;']"
13,91,11.06.2007,"38, Walsingham (First Floor Flat) and Garage 67",26.04.2007 From 26/4/2007 to 21/11/2174,NGL882899,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,92,11.06.2007,12 Wymondham Court (Second Floor Flat),26.04.2007 From 26/4/2007 to 21/11/2174,NGL882847,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,93,11.06.2007,37 Sheringham (First Floor Flat),26.04.2007 From 26/4/2007 to 21/11/2174,NGL882849,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,94,11.06.2007,36 Sheringham (First Floor Flat),26.04.2007 From 26/4/2007 to 21/11/2174,NGL882850,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,95,11.06.2007,21 Sheringham (Fifth Floor Flat) and Garage 34,10.05.2007 From 10/5/2007 to 21/11/2174,NGL882897,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,96,11.06.2007,7 Mancroft (Third Floor Flat) and Garage 26,10.05.2007 From 10/5/2007 to 21/11/2174,NGL882898,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,97,11.06.2007,2 Mancroft (Ground Floor Flat) and Garage 5,11.05.2007 11/5/2007 to 21/11/2174,NGL882900,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,98,11.06.2007,23 Sheringham (Fifth Floor Flat) and Garage 7,11.05.2007 From 11/5/2007 to 21/11/2174,NGL882901,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,99,11.06.2007,25 Walsingham (Sixth Floor Flat) and Garage 74,26.04.2007 From 26/4/2007 to 21/11/2174,NGL882902,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,100,19.06.2007,35 Walsingham (Ground Floor Flat),15.06.2007 From 15/6/2007 to 21/11/2174,NGL883238,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,101,26.06.2007,32 Walsingham (Seventh Floor Flat),11.05.2007 From 11.5.2007 to 21.11.2174,NGL883588,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,102,26.06.2007,36 Walsingham (First Floor Flat),11.05.2007 From 11.5.2007 to 21.11.2174,NGL883585,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,103,26.06.2007,17 Sheringham (Fourth Floor Flat),11.05.2007 From 11.5.2007 to 21.11.2174,NGL883587,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,104,28.06.2007,74 Walsingham (Ninth Floor Flat) and Garage 91,15.05.2007 From 15.5.2007 to 21.11.2174,NGL883712,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,105,28.06.2007,83 Sheringham (Tenth Floor Flat),15.06.2007 From 15.6.2007 to 21.11.2174,NGL883711,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
